,title,description,originallink,link,pubDate
21,종영 D-DAY &apos;우영우&apos; 시청률 소폭 하락…&apos;유종의 미&apos; 거둘까,"장승준(최대훈 분)과 한 팀을 이룬 신입 변호사 우영우(<b>박은빈</b> 분)·최수연(하윤경 분)·권민우(주종혁 분)가 눈부신 활약을 보였다. 위암 3기 판정을 받은 정명석(강기영 분)은 수술에 들어갔고, 이준호(강태오 분)는... ",https://www.nocutnews.co.kr/news/5803573,https://n.news.naver.com/mnews/article/079/0003675870?sid=106,"Thu, 18 Aug 2022 09:55:00 +0900"
22,"‘라스’, 류승수·김호영·김규리·유희관 출연..동시간대 가구 시청률 1위",김호영은 최근 대세로 떠오른 배우 <b>박은빈</b> 덕분에 15년 전 아역으로 동반출연했던 ‘태왕사신기’가 재조명되고 있다고 이야기했다. 그는 “드라마 상에서 제가... ,http://www.breaknews.com/916876,http://www.breaknews.com/916876,"Thu, 18 Aug 2022 09:54:00 +0900"
23,"<b>박은빈</b> 아빠 전배수, &apos;우영우&apos; 종영소감 &quot;좋은 작품..너무 행복했다&quot;",전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한 목적으로... ,http://www.osen.co.kr/article/G1111921503,https://n.news.naver.com/mnews/article/109/0004680458?sid=106,"Thu, 18 Aug 2022 09:54:00 +0900"
24,함태인 ‘우영우’ 뜬다,"‘이상한 변호사 우영우’는 천재적인 두뇌와 자폐 스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b> 분)의 좌충우돌 대형 로펌 생존기를 다루는 작품이다. 국내 넷플릭스(Netflix) 1위, 통합 콘텐츠 랭킹 1위에... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208180953003&sec_id=540201&pt=nv,https://n.news.naver.com/mnews/article/144/0000831636?sid=106,"Thu, 18 Aug 2022 09:54:00 +0900"
25,&quot;당신을 좋아하지만 나는 사람을 외롭게 해&quot;…우영우 13.7% 기록(종합),장승준의 지휘 아래 우영우(<b>박은빈</b>) 등 한바다 동기 3인방은 고객들의 개인정보 유출 혐의로 과징금 3천억 원을 부과받은 국내 최대 온라인 쇼핑몰 라온의 사건을 맡는다. 드라마는 실제로도 개인정보 유출 사고가... ,https://www.yna.co.kr/view/AKR20220818018751005?input=1195m,https://n.news.naver.com/mnews/article/001/0013382242?sid=103,"Thu, 18 Aug 2022 09:52:00 +0900"
26,"&apos;우영우&apos; 전배수, 국민아빠 등극 &quot;너무 행복했다&quot; 종영 소감",[사진=ENA] 전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원 분)이 태수미(진경 분)을 이기기 위한... ,http://www.joynews24.com/view/1511296,http://www.joynews24.com/view/1511296,"Thu, 18 Aug 2022 09:52:00 +0900"
27,"함태인, &apos;우영우&apos; 마지막회 출연 &quot;<b>박은빈</b>♥강태오 사이 특별 존재감&quot; [공식]","소속사에 따르면 함태인은 &apos;이상한 변호사 우영우&apos; 16회 에피소드에 출연, 우영우(<b>박은빈</b> 분)와 이준호(강태오)와 애정 전선 속 특별한 존재감을 드러낼 예정이다. 특히 그는 우월한 피지컬과 젠틀하면서도 비밀스러운... ",http://sports.chosun.com/news/ntype.htm?id=202208190100129090007890&servicedate=20220818,https://n.news.naver.com/mnews/article/076/0003906081?sid=106,"Thu, 18 Aug 2022 09:52:00 +0900"
28,"김호영 &quot;<b>박은빈</b> 덕 15년 전 &apos;태왕사신기&apos; 재조명, 계탔다&quot; (라스)[종합]","뮤지컬 배우 김호영이 배우 <b>박은빈</b>에게 고마워했다. 17일 방송한 MBC ‘라디오스타’는 류승수, 김규리... 김호영은 최근 대세로 떠오른 배우 <b>박은빈</b> 덕분에 15년 전 아역으로 동반출연했던 ‘태왕사신기’가 재조명되고... ",https://www.xportsnews.com/article/1619005,https://n.news.naver.com/mnews/article/311/0001489831?sid=106,"Thu, 18 Aug 2022 09:50:00 +0900"
29,"&apos;우영우&apos; 서브 아빠 맞아?…강기영, 엉뚱+섹시 매력 담은 화보 공개","우영우 역을 맡은 <b>박은빈</b> 배우에 대해 &quot;명석이가 우영우한테 배운 만큼 강기영도 <b>박은빈</b>한테 정말 많이 배웠다&quot;며 연기와 현장에서의 태도를 추켜세우기도 하고, 권민우 역을 맡은 주종혁 배우에 대해서는 &quot;종혁이를 보면... ",https://star.ytn.co.kr/_sn/0117_202208180949127620,https://n.news.naver.com/mnews/article/052/0001778155?sid=106,"Thu, 18 Aug 2022 09:49:00 +0900"
30,“암을 개그 소재로? 실망이다” &apos;용두사미&apos;란 말까지 나온 우영우 상황,이때 회사에서 일하고 있어야 할 우영우(<b>박은빈</b>)가 뛰어와 정 변호사를 만났다. 우영우는 &quot;정명석 변호사님이 보고 싶어서 왔습니다&quot;라며 &quot;만약 수술이 잘못돼 사망하게 되면 다시는 보지 못하게 되니까요&quot;라고 말했다. 이... ,https://www.wikitree.co.kr/articles/781381,https://www.wikitree.co.kr/articles/781381,"Thu, 18 Aug 2022 09:48:00 +0900"
31,&apos;이상한 변호사 우영우&apos; 마지막회 출연하는 &apos;이 배우&apos;...결말 알려준다 (+정체...,"&apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b>)의 좌충우돌 대형 로펌 생존기를 다루는 작품이다. 국내 넷플릭스 1위, 통합 콘텐츠 랭킹 1위에 등극하며 시청자들의... ",https://www.wikitree.co.kr/articles/781396,https://www.wikitree.co.kr/articles/781396,"Thu, 18 Aug 2022 09:48:00 +0900"
32,"&apos;영우 아빠&apos; 전배수 &quot;뜨거운 사랑, 깊이 감사드린다&quot; 종영 소감",전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 딸 우영우(<b>박은빈</b> 분)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 극중 한선영(백지원)이 태수미(진경)을 이기기 위한... ,https://www.xportsnews.com/article/1619012,https://n.news.naver.com/mnews/article/311/0001489828?sid=106,"Thu, 18 Aug 2022 09:46:00 +0900"
33,&apos;우영우 아빠&apos; 전배수 &quot;행복했던 작품&quot; 애틋 종영 소감,우공화는 딸 우영우(<b>박은빈</b>)를 위해서라면 못할 것이 없는 딸바보 아빠이기도 하다. 전배수는 조금 특별한 아이 영우를 홀로 키우며 느꼈을 외로움과 복잡미묘한 감정을 깊은 눈빛과 표정에 담담하게 그려내며 극의... ,http://www.tvdaily.co.kr/read.php3?aid=16607831811650096002,http://www.tvdaily.co.kr/read.php3?aid=16607831811650096002,"Thu, 18 Aug 2022 09:44:00 +0900"
34,"&apos;정관장과 함께라면, 즐거운 Holiday&apos; 프로모션 진행","정관장 광고모델 손석구·<b>박은빈</b> 추천 제품 구매금액대별 할인 혜택 제공 KGC인삼공사는 추석을 맞아... 손석구, <b>박은빈</b> 등 정관장 모델이 추천하는 인기제품 4종 △홍삼정 에브리타임 △홍삼톤골드 △천녹톤... ",https://www.asiatoday.co.kr/view.php?key=20220818010010595,https://www.asiatoday.co.kr/view.php?key=20220818010010595,"Thu, 18 Aug 2022 09:44:00 +0900"
35,"&apos;우영우&apos; <b>박은빈</b>, 하윤경·주종혁과 원팀 활약...&apos;고래커플&apos;은 위기","마지막 회, 오늘(18일) 밤 9시 방송 &apos;이상한 변호사 우영우&apos; <b>박은빈</b> 하윤경 주종혁이 일도 관계도 한층 더... 장승준(최대훈 분)과 한 팀을 이룬 변호사 우영우(<b>박은빈</b> 분)와 최수연(하윤경 분), 그리고 권민우(주종혁 분)의... ",http://news.tf.co.kr/read/entertain/1959234.htm,https://n.news.naver.com/mnews/article/629/0000167436?sid=106,"Thu, 18 Aug 2022 09:42:00 +0900"
36,&apos;우영우&apos; 아빠 전배수 &quot;뜨거운 사랑에 깊이 감사&quot; 종영소감,사진=ENA채널 &apos;이상한 변호사 우영우&apos; 전배수는 극 중 전도유망한 법대생에서 미혼부라는 쉽지 않은 길을 선택한 후 영우(<b>박은빈</b>)을 위해서라면 못할 것이 없는 딸바보 아빠로 열연을 펼쳤다. 한선영(백지원)이 태수미(진경)... ,http://www.slist.kr/news/articleView.html?idxno=377560,http://www.slist.kr/news/articleView.html?idxno=377560,"Thu, 18 Aug 2022 09:42:00 +0900"
37,"함태인, ‘이상한 변호사 우영우’ 출연…우영우♥이준호, 애정 전선 뉴페이스...","&apos;이상한 변호사 우영우&apos;는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(<b>박은빈</b> 분)의 좌충우돌 대형 로펌 생존기를 다루는 작품이다. 국내 넷플릭스(Netflix) 1위, 통합 콘텐츠 랭킹 1위에 등극하며... ",https://sports.donga.com/article/all/20220818/115008720/1,https://n.news.naver.com/mnews/article/382/0000998712?sid=106,"Thu, 18 Aug 2022 09:41:00 +0900"
